,rad,vel,rad_error,vel_error
0,0.4220383972906818,46.724331251001146,0.020972060135923315,10.316468730692677
1,0.7479233884808152,67.97693416626625,0.00565204457563917,7.999816937827504
2,1.1224457106244725,78.07006704652069,0.024095558454039878,5.89551726505114
3,1.4361341845724382,82.05990709594748,0.002826022287819363,3.9999084689137447
4,1.7813551177318612,90.68030479851723,0.0029747603029680603,4.2104299672776335
5,2.182947758632527,99.08835038099815,0.053545685453421976,4.212260589002554
6,2.523409075307203,100.9720601359237,0.0022310702272261285,3.157822475458218
7,2.8638703919818775,102.85576989084922,0.0014873801514845297,2.1052149836388097
8,3.261447106473536,105.57973501750533,0.0016361181666322278,2.3157364820026984
9,3.918125443353701,115.03215029404365,0.026772842726710877,2.106130294501277
10,4.630431797899362,123.21960595867374,0.0016361181666324498,2.3157364820027055
11,5.367874877005104,126.98519484679986,0.0013386421363361656,1.8946934852749493
12,6.074529186975127,127.17283357360246,0.02677284272670999,2.1061302945012557
13,6.809146243793048,126.93851399281482,0.029896341044827857,2.314821171140238
14,7.515651815747923,126.91563122125353,0.0016361181666324498,2.3157364820026984
15,8.251012562641588,127.73391913228531,0.001636118166633338,2.3157364820026984
16,8.929555387748564,128.13299466831427,0.001636118166633338,2.3157364820027055
17,9.664172444566486,127.89867508752661,0.05830530193817385,2.524427358641674
18,10.371272968581955,128.71787830942085,0.02647536669641415,2.5271732912290403
19,11.051005697810117,130.8011258323608,0.026772842726712653,2.1061302945012557
20,11.787258872794673,132.88254273357592,0.026772842726708213,2.10613029450127
21,12.495995514976775,136.01748243747284,0.0016361181666315616,2.3157364820027055
22,13.145831903160108,135.78590878927258,0.03004507905997489,2.525342669504141
23,13.850998832978648,133.86833253243634,0.0016361181666315616,2.3157364820027055
24,14.557504404933525,133.84544976087506,0.029896341044827857,2.314821171140238
25,15.264009976888401,133.82256698931377,0.0016361181666315616,2.3157364820026913
26,15.942850278025675,134.64268552207045,0.0019335941969291781,2.7367794787304547
27,16.704537653600603,132.72327864350933,0.026475366696416813,2.5271732912290332
28,17.410597011510035,132.0688313768564,0.0016361181666315616,2.3157364820026913
29,18.14818882863092,136.0449417633464,0.002379808242375603,3.368343973822107
30,18.767980137754282,133.288025445642,0.0022310702272250182,3.157822475458218
31,19.503192146632802,133.8957918583099,0.0029747603029655068,4.210429967277648
